"","V1","V2","V3"
"GEOaccess","tissue","batch","status"
"GSM8742351","cervical spinal cord","","CT"
"GSM8742352","cervical spinal cord","","CT"
"GSM8742353","cervical spinal cord","","CT"
"GSM8742354","cervical spinal cord","","CT"
"GSM8742355","cervical spinal cord","","ALS"
"GSM8742356","cervical spinal cord","","ALS"
"GSM8742357","cervical spinal cord","","ALS"
"GSM8742358","cervical spinal cord","","ALS"
"GSM8742359","cervical spinal cord","","ALS"
"GSM8742360","cervical spinal cord","","ALS"
"GSM8742361","cervical spinal cord","","ALS"
"GSM8742362","cervical spinal cord","","ALS"
